987,11804,Massachusetts Electric Co,NY,Investor Owned,NPCC
988,11806,Massachusetts Mun Wholes Electric Co,MA,Municipal Mktg Authority,NPCC
989,11811,Town of Massena - (NY),NY,Municipal,NPCC
990,11824,Matanuska Electric Assn Inc,AK,Cooperative,AK
991,11833,Municipal Energy Agency of MS,MS,Municipal Mktg Authority,SERC
992,11843,Maui Electric Co Ltd,HI,Investor Owned,HI
993,11871,City of Mayfield Plant Board,KY,Municipal,SERC
994,11910,McLeod Cooperative Power Assn,MN,Cooperative,MRO
995,11989,McCone Electric Coop Inc,MT,Cooperative,WECC
996,12087,McKenzie Electric Coop Inc,ND,Cooperative,MRO
997,12090,"McLean Electric Coop, Inc",ND,Cooperative,MRO
998,12186,McMinnville Electric System,TN,Municipal,SERC
999,12187,City of McMinnville - (OR),OR,Municipal,WECC
1000,12199,Montana-Dakota Utilities Co,ND,Investor Owned,MRO
1001,12208,City of McPherson - (KS),KS,Municipal,SPP
1002,12227,Meeker Coop Light & Power Assn,MN,Cooperative,MRO
1003,12243,Meade County Rural E C C,KY,Cooperative,SERC
1004,12260,Mecklenburg Electric Cooperative,VA,Cooperative,SERC
1005,12265,City of Medford - (WI),WI,Municipal,MRO
1006,12268,"Medina Electric Coop, Inc",TX,Cooperative,TRE
1007,12286,Melrose Public Utilities,MN,Municipal,MRO
1008,12293,City of Memphis - (TN),TN,Municipal,SERC
1009,12298,City of Menasha - (WI),WI,Municipal,MISO
1010,12301,Nodak Electric Coop Inc,ND,Cooperative,MRO
1011,12312,Merced Irrigation District,CA,Political Subdivision,WECC
1012,12323,Miami Power Corporation,OH,Investor Owned,RFC
1013,12330,Meriwether Lewis Electric Coop,TN,Cooperative,SERC
1014,12341,MidAmerican Energy Co,IA,Investor Owned,MRO
1015,12351,City of Mesa - (AZ),AZ,Municipal,WECC
1016,12377,Midwest Energy Cooperative,MI,Cooperative,RFC
1017,12390,Metropolitan Edison Co,OH,Investor Owned,RFC
1018,12395,Menard Electric Coop,IL,Cooperative,RFC
1019,12397,Metropolitan Water District of S CA,CA,State,WECC
1020,12406,Miami-Cass County Rural E M C,IN,Cooperative,RFC
1021,12408,City of Miami - (OK),OK,Municipal,SPP
1022,12439,"Midstate Electric Coop, Inc",OR,Cooperative,WECC
1023,12450,Midland Power Coop,IA,Cooperative,RFC
1024,12452,Mid-South Electric Coop Assn,TX,Cooperative,TRE
1025,12462,Mid-Carolina Electric Coop Inc,SC,Cooperative,SERC
1026,12463,"Mid-Yellowstone Elec Coop, Inc",MT,Cooperative,WECC
1027,12465,"System Energy Resources, Inc",MS,Investor Owned,SERC
1028,12470,Middle Tennessee E M C,TN,Cooperative,SERC
1029,12472,Middle Georgia El Member Corp,GA,Cooperative,SERC
1030,12473,Town of Middleborough - (MA),MA,Municipal,NPCC
1031,12477,Town of Middleton,MA,Municipal,NPCC
1032,12478,Town of Middletown - (DE),DE,Municipal,RFC
1033,12515,"Midwest Electric, Inc",OH,Cooperative,RFC
1034,12524,Midwest Energy Inc,KS,Cooperative,SPP
1035,12532,City of Milan,TN,Municipal,SERC
1036,12539,Midwest Electric Member Corp,NE,Cooperative,MRO
1037,12540,City of Milford - (DE),DE,Municipal,RFC
1038,12541,City of Milford - (IA),IA,Municipal,MRO
1039,12546,Mille Lacs Energy Cooperative,MN,Cooperative,MRO
1040,12580,City of Miller - (SD),SD,Municipal,MRO
1041,12615,City of Milton-Freewater- (OR),OR,Municipal,WECC
1042,12625,City of Minden - (LA),LA,Municipal,SPP
1043,12626,City of Minden - (NE),NE,Municipal,MRO
1044,12642,Maquoketa Valley Rrl Elec Coop,IA,Cooperative,RFC
1045,12647,"ALLETE, Inc.",MN,Investor Owned,MRO
1046,12651,Minnesota Valley Electric Coop,MN,Cooperative,MRO
1047,12658,"Minnkota Power Coop, Inc",ND,Cooperative,MRO
1048,12660,Village of Minster - (OH),OH,Municipal,RFC
1049,12667,Minnesota Municipal Power Agny,MN,Municipal Mktg Authority,MRO
1050,12674,City of Mishawaka,IN,Municipal,RFC
1051,12681,Mississippi County Electric Co,AR,Cooperative,SERC
1052,12685,Entergy Mississippi Inc,MS,Investor Owned,SERC
1053,12686,Mississippi Power Co,MS,Investor Owned,SERC
1054,12692,"Missoula Electric Coop, Inc",MT,Cooperative,WECC
1055,12698,KCP&L Greater Missouri Operations Co.,MO,Investor Owned,SPP
1056,12700,Missouri Rural Electric Coop,MO,Cooperative,SERC
1057,12706,Mitchell Electric Member Corp,GA,Cooperative,SERC
1058,12710,Missouri Basin Muni Power Agny,SD,Political Subdivision,MRO
1059,12744,Modern Electric Water Company,WA,Cooperative,WECC
1060,12745,Modesto Irrigation District,CA,Political Subdivision,WECC
1061,12782,City of Monett - (MO),MO,Municipal,SPP
1062,12789,City of Monmouth - (OR),OR,Municipal,WECC
1063,12796,Monongahela Power Co,PA,Investor Owned,RFC
1064,12800,City of Monroe - (GA),GA,Municipal,SERC
1065,12801,City of Monroe - (NC),NC,Municipal,SERC
1066,12803,"Monroe County Elec Coop, Inc",IL,Cooperative,RFC
1067,12807,Michigan South Central Pwr Agy,MI,Municipal,RFC
1068,12825,NorthWestern Energy LLC - (MT),MT,Investor Owned,WECC
1069,12839,City of Montezuma - (IA),IA,Municipal,MRO
1070,12860,Morgan County Rural Elec Assn,CO,Cooperative,WECC
1071,12866,Moon Lake Electric Assn Inc,UT,Cooperative,WECC
1072,12894,City of Moorhead - (MN),MN,Municipal,MRO
1073,12897,Moose Lake Water & Light Comm,MN,Municipal,MRO
1074,12899,Mor-Gran-Sou Electric Coop Inc,ND,Cooperative,MRO
1075,12900,City of Mora - (MN),MN,Municipal,MRO
1076,12901,Mora-San Miguel Elec Coop,NM,Cooperative,WECC
1077,12915,Moreau-Grand Electric Coop Inc,SD,Cooperative,MRO
1078,12917,Morgan Stanley Capital Grp Inc,NY,Wholesale Power Marketer,RFC
1079,12919,Morenci Water and Electric,AZ,Investor Owned,WECC
1080,12927,Morgan City - (LA),LA,Municipal,SPP
1081,12929,South Central Indiana REMC,IN,Cooperative,RFC
1082,12944,City of Morganton - (NC),NC,Municipal,SERC
1083,12988,City of Morristown - (TN),TN,Municipal,SERC
1084,12989,Village of Morrisville - (VT),VT,Municipal,NPCC
1085,12990,Consolidated Electric Coop Inc,OH,Cooperative,RFC
1086,13026,City of Moultrie - (GA),GA,Municipal,SERC
1087,13027,"Mountain Electric Coop, Inc",TN,Cooperative,SERC
1088,13029,City of Moundridge - (KS),KS,Municipal,SPP
1089,13032,Mt Carmel Public Utility Co,IL,Investor Owned,SERC
1090,13036,Village of Mt. Horeb - (WI),WI,Municipal,MISO
1091,13038,City of Mt Pleasant - (IA),IA,Municipal,MRO
1092,13039,City of Mt Pleasant - (TN),TN,Municipal,SERC
1093,13040,City of Mount Vernon - (MO),MO,Municipal,SPP
1094,13050,"Mountain Parks Electric, Inc",CO,Cooperative,WECC
1095,13058,"Mountain View Elec Assn, Inc",CO,Cooperative,WECC
1096,13073,"Mt Wheeler Power, Inc",NV,Cooperative,WECC
1097,13095,City of Mulvane - (KS),KS,Municipal,SPP
1098,13100,Municipal Electric Authority,GA,Municipal Mktg Authority,SERC
1099,13119,City of Murfreesboro,TN,Municipal,SERC
1100,13137,City of Murray - (UT),UT,Municipal,WECC
1101,13138,City of Murray - (KY),KY,Municipal,SERC
1102,13143,Board of Water Electric & Communications,IA,Municipal,MRO
1103,13144,City of Muscle Shoals,AL,Municipal,SERC
1104,13145,Village of Muscoda - (WI),WI,Municipal,MISO
1105,13190,"N W Electric Power Coop, Inc",MO,Cooperative,SERC
1106,13196,Northern Plains Electric Coop,ND,Cooperative,MRO
2048,55841,APNA Energy,TX,Retail Power Marketer,ERCOT
2049,55874,"Energy Services Providers, Inc",MA,Retail Power Marketer,NYISO
2050,55875,StarTex Power,TX,Retail Power Marketer,ERCOT
2051,55878,Hudson Energy Services,NY,Retail Power Marketer,NYISO
2052,55897,PSEG Energy Resources and Trade,NJ,Wholesale Power Marketer,NYISO
2053,55936,Entergy Gulf States - LA LLC,LA,Investor Owned,SERC
2054,55937,Entergy Texas Inc.,TX,Investor Owned,SERC
